Title,ISBN,Similarity
A Portrait of the Artist As a Young Man (Twentieth-Century Classics),0140186832,0.9325353283458022
A Portrait of the Artist As a Young Man (Penguin Classics),0142437344,0.9321363258520365
A Portrait of the Artist As a Young Man,0553214047,0.9190024937655861
A Portrait of the Artist As a Young Man,0451525442,0.9188029925187033
A Portrait of the Artist As a Young Man,0140042210,0.9184039900249377
A Portrait of the Artist as a Young Man (Penguin Popular Classics),0140622306,0.9140862130388316
A Portrait of the Artist As a Young Man (Dover Thrift Editions),0486280500,0.8744014962593517
Dubliners (Classics Library (NTC)),1853260487,0.8281724260776631
The Dubliners (Penguin Popular Classics),0140622179,0.8248004987531172
Ulysses (Modern Library),0679600116,0.7990024937655861
