Title,ISBN,Similarity
"Krondor the Assassins (The Riftwar Legacy, Book 2)",0380803232,0.8635366130129222
"Krondor: Tear of the Gods (The Riftwar Legacy, Book 3)",0380795280,0.8330340814630092
"Shadow of a Dark Queen (The Serpentwar Saga, Book 1)",0380720868,0.5829343308395677
"Rage of a Demon King (Serpentwar Saga , Vol 3)",0380720884,0.49990024937655864
Rise of a Merchant Prince (Serpentwar Saga),0380720876,0.4997007481296758
Mistress of the Empire,0553561189,0.4994014962593516
Faerie Tale,0553277839,0.49900249376558603
"GIVER, THE (Yearling Books (Paperback))",0440228921,0.4
Superfudge (Yearling Books (Paperback)),0440484332,0.39820448877805487
Blubber (Yearling Books (Paperback)),0440407079,0.3977057356608479
